time_frame,covid_included,ASB_included,correlation_method,edge_method,edge_param,n_nodes,n_edges,density,n_components,lcc_size,n_communities,modularity,mean_betweenness,mean_degree,mean_constraint,mean_eigenvector,edges_pre_filter,edges_post_filter,n_rows_used
2017-2026,FALSE,TRUE,spearman,knn,4,13,33,0.423076923,1,13,2,0.253443526,0.064102564,0.423076923,0.428396113,0.268270316,78,33,17108534
2017-2026,FALSE,TRUE,pearson,threshold,0.5,13,54,0.692307692,1,13,2,0.061556927,0.027972028,0.692307692,0.369330052,0.265392788,78,54,17108534
2017-2026,FALSE,TRUE,pearson,threshold,0.7,13,14,0.179487179,4,10,2,0.364795918,0.076923077,0.179487179,0.73649762,0.249018843,78,14,17108534
2017-2026,FALSE,TRUE,pearson,knn,3,13,29,0.371794872,1,13,3,0.25980975,0.072261072,0.371794872,0.492255136,0.251232333,78,29,17108534
2017-2026,FALSE,TRUE,pearson,knn,4,13,38,0.487179487,1,13,2,0.202216066,0.047785548,0.487179487,0.437902709,0.261095581,78,38,17108534
2017-2026,FALSE,FALSE,cosine,threshold,0.5,12,54,0.818181818,1,12,2,0.017832647,0.018181818,0.818181818,0.365997521,0.28124568,66,54,15129568
2017-2026,FALSE,FALSE,cosine,threshold,0.7,12,16,0.242424242,3,10,3,0.310546875,0.081818182,0.242424242,0.71516827,0.258505885,66,16,15129568
2017-2026,FALSE,FALSE,cosine,knn,3,12,24,0.363636364,1,12,3,0.356770833,0.087878788,0.363636364,0.581813947,0.259241417,66,24,15129568
2017-2026,FALSE,FALSE,cosine,knn,4,12,33,0.5,1,12,3,0.188705234,0.051515152,0.5,0.421542202,0.272214903,66,33,15129568
2017-2026,FALSE,FALSE,spearman,threshold,0.5,12,45,0.681818182,1,12,2,0.076790123,0.031818182,0.681818182,0.400009485,0.277795106,66,45,15129568
2017-2026,FALSE,FALSE,spearman,threshold,0.7,12,14,0.212121212,3,10,3,0.446428571,0.113636364,0.212121212,0.712618576,0.243479092,66,14,15129568
2017-2026,FALSE,FALSE,spearman,knn,3,12,23,0.348484848,1,12,2,0.336483932,0.098484848,0.348484848,0.582815751,0.281028662,66,23,15129568
2017-2026,FALSE,FALSE,spearman,knn,4,12,31,0.46969697,1,12,2,0.240894901,0.060606061,0.46969697,0.466383884,0.280824762,66,31,15129568
2017-2026,FALSE,FALSE,pearson,threshold,0.5,12,43,0.651515152,1,12,2,0.078961601,0.036363636,0.651515152,0.417426728,0.274567141,66,43,15129568
2017-2026,FALSE,FALSE,pearson,threshold,0.7,12,10,0.151515152,5,5,2,0.48,0.009090909,0.151515152,0.865471744,0.425863055,66,10,15129568
2017-2026,FALSE,FALSE,pearson,knn,3,12,27,0.409090909,1,12,2,0.229766804,0.06969697,0.409090909,0.523501551,0.269386892,66,27,15129568
2017-2026,FALSE,FALSE,pearson,knn,4,12,34,0.515151515,1,12,2,0.204152249,0.048484848,0.515151515,0.442308694,0.277453844,66,34,15129568
